ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20160524,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-05-24,2016-05-30,1
20160517,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-05-17,2016-05-23,1
20160510,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-05-10,2016-05-16,1
20160503,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-05-03,2016-05-09,1
20160426,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-04-26,2016-05-02,1
20160419,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-04-19,2016-04-25,1
20160412,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-04-12,2016-04-18,1
20160405,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-04-05,2016-04-11,1
20160329,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-03-29,2016-04-04,1
20160322,06025,Imperial County,CA,0.00,100.00,100.00,90.37,0.00,0.00,2016-03-22,2016-03-28,1
20160315,06025,Imperial County,CA,0.00,100.00,100.00,85.91,0.00,0.00,2016-03-15,2016-03-21,1
20160308,06025,Imperial County,CA,0.00,100.00,100.00,85.91,0.00,0.00,2016-03-08,2016-03-14,1
20160301,06025,Imperial County,CA,0.00,100.00,100.00,68.13,0.00,0.00,2016-03-01,2016-03-07,1
20160223,06025,Imperial County,CA,0.00,100.00,83.38,41.33,0.00,0.00,2016-02-23,2016-02-29,1
20160216,06025,Imperial County,CA,0.00,100.00,83.38,41.33,0.00,0.00,2016-02-16,2016-02-22,1
20160209,06025,Imperial County,CA,0.00,100.00,83.38,41.33,0.00,0.00,2016-02-09,2016-02-15,1
20160202,06025,Imperial County,CA,0.00,100.00,83.38,41.33,0.00,0.00,2016-02-02,2016-02-08,1
20160126,06025,Imperial County,CA,0.00,100.00,84.98,41.33,0.00,0.00,2016-01-26,2016-02-01,1
20160119,06025,Imperial County,CA,0.00,100.00,87.68,41.33,0.00,0.00,2016-01-19,2016-01-25,1
20160112,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2016-01-12,2016-01-18,1
20160105,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2016-01-05,2016-01-11,1
20151229,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-12-29,2016-01-04,1
20151222,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-12-22,2015-12-28,1
20151215,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-12-15,2015-12-21,1
20151208,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-12-08,2015-12-14,1
20151201,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-12-01,2015-12-07,1
20151124,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-11-24,2015-11-30,1
20151117,06025,Imperial County,CA,0.00,100.00,87.68,41.78,0.00,0.00,2015-11-17,2015-11-23,1
20151110,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-11-10,2015-11-16,1
20151103,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-11-03,2015-11-09,1
20151027,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-10-27,2015-11-02,1
20151020,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-10-20,2015-10-26,1
20151013,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-10-13,2015-10-19,1
20151006,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-10-06,2015-10-12,1
20150929,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-09-29,2015-10-05,1
20150922,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-09-22,2015-09-28,1
20150915,06025,Imperial County,CA,0.00,100.00,87.68,41.84,0.00,0.00,2015-09-15,2015-09-21,1
20150908,06025,Imperial County,CA,0.00,100.00,87.85,41.84,0.00,0.00,2015-09-08,2015-09-14,1
20150901,06025,Imperial County,CA,0.00,100.00,87.85,41.84,0.00,0.00,2015-09-01,2015-09-07,1
20150825,06025,Imperial County,CA,0.00,100.00,87.85,41.84,0.00,0.00,2015-08-25,2015-08-31,1
20150818,06025,Imperial County,CA,0.00,100.00,87.85,41.84,0.00,0.00,2015-08-18,2015-08-24,1
20150811,06025,Imperial County,CA,0.00,100.00,87.85,41.84,0.00,0.00,2015-08-11,2015-08-17,1
20150804,06025,Imperial County,CA,0.00,100.00,87.85,70.62,0.00,0.00,2015-08-04,2015-08-10,1
20150728,06025,Imperial County,CA,0.00,100.00,87.85,70.62,0.00,0.00,2015-07-28,2015-08-03,1
20150721,06025,Imperial County,CA,0.00,100.00,87.85,70.62,0.00,0.00,2015-07-21,2015-07-27,1
20150714,06025,Imperial County,CA,0.00,100.00,100.00,70.62,0.00,0.00,2015-07-14,2015-07-20,1
20150707,06025,Imperial County,CA,0.00,100.00,100.00,70.62,0.00,0.00,2015-07-07,2015-07-13,1
20150630,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-06-30,2015-07-06,1
20150623,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-06-23,2015-06-29,1
20150616,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-06-16,2015-06-22,1
20150609,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-06-09,2015-06-15,1
20150602,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-06-02,2015-06-08,1
20150526,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-05-26,2015-06-01,1
20150519,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-05-19,2015-05-25,1
20150512,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-05-12,2015-05-18,1
20150505,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-05-05,2015-05-11,1
20150428,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-04-28,2015-05-04,1
20150421,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-04-21,2015-04-27,1
20150414,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-04-14,2015-04-20,1
20150407,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-04-07,2015-04-13,1
20150331,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-03-31,2015-04-06,1
20150324,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-03-24,2015-03-30,1
20150317,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-03-17,2015-03-23,1
20150310,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-03-10,2015-03-16,1
20150303,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-03-03,2015-03-09,1
20150224,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-02-24,2015-03-02,1
20150217,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-02-17,2015-02-23,1
20150210,06025,Imperial County,CA,0.00,100.00,100.00,70.64,0.00,0.00,2015-02-10,2015-02-16,1
20150203,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2015-02-03,2015-02-09,1
20150127,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2015-01-27,2015-02-02,1
20150120,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2015-01-20,2015-01-26,1
20150113,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2015-01-13,2015-01-19,1
20150106,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2015-01-06,2015-01-12,1
20141230,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2014-12-30,2015-01-05,1
20141223,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2014-12-23,2014-12-29,1
20141216,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.00,0.00,2014-12-16,2014-12-22,1
20141209,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-12-09,2014-12-15,1
20141202,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-12-02,2014-12-08,1
20141125,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-11-25,2014-12-01,1
20141118,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-11-18,2014-11-24,1
20141111,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-11-11,2014-11-17,1
20141104,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-11-04,2014-11-10,1
20141028,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-10-28,2014-11-03,1
20141021,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-10-21,2014-10-27,1
20141014,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-10-14,2014-10-20,1
20141007,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-10-07,2014-10-13,1
